feature,shap_win_mean,shap_loss_mean,shap_diff_mean,u_stat,p_value,bh_significant,abs_diff
avg_trade_size,-0.013652341731903278,-0.014732467936390114,0.0010801262044868361,7179111.0,4.0855453055114095e-07,True,0.0010801262044868361
buy_ratio_rolling_max_1,0.0006480184006008564,-0.00042927599797849624,0.0010772943985793526,9935438.5,8.175719958516026e-274,True,0.0010772943985793526
abs_return_rolling_var_48,0.0026936533648861043,0.0037504396198328794,-0.0010567862549467752,4572867.5,6.721311585987521e-123,True,0.0010567862549467752
imbalance_rolling_mean_2,0.000383179536149941,-0.0006501283965998077,0.0010333079327497488,8802277.0,4.3385031784415985e-116,True,0.0010333079327497488
log_quote_volume_rolling_min_4,0.004936494518595047,0.005964241410219843,-0.001027746891624796,5112010.0,9.902105675046437e-70,True,0.001027746891624796
return_rolling_iqr_96,0.0059046982572544555,0.006930638635616533,-0.0010259403783620773,6337796.0,2.9058606710749537e-05,True,0.0010259403783620773
abs_return_rolling_var_4,0.0040135199961132,0.005025332519744967,-0.0010118125236317672,6284867.0,1.91317068275736e-06,True,0.0010118125236317672
return_rolling_max_8,0.002915713508697296,0.0019127535791319216,0.0010029599295653744,8009834.5,9.950278036168509e-46,True,0.0010029599295653744
log_quote_volume_rolling_min_12,0.0051382630582120035,0.00613891227358054,-0.0010006492153685365,5583105.5,1.0294443329511745e-35,True,0.0010006492153685365
minute_cos,-0.00015671970917233592,0.0008423160907153076,-0.0009990357998876436,6765444.0,0.6038163046443751,False,0.0009990357998876436
log_volume_rolling_min_8,-0.0006880760226794942,0.00026462416330297827,-0.0009527001859824724,6663295.0,0.5460839040260153,False,0.0009527001859824724
log_quote_volume_rolling_min_2,0.003888733500137317,0.004839382366777883,-0.0009506488666405659,5630774.5,6.449003737407407e-33,True,0.0009506488666405659
garman_klass_var_rolling_max_2,0.006992825783911779,0.007935506039610067,-0.0009426802556982885,6263217.5,5.723990274199822e-07,True,0.0009426802556982885
buy_ratio_rolling_var_24,-0.003613768511998593,-0.002671395502626496,-0.0009423730093720971,6496018.0,0.014606424646956963,False,0.0009423730093720971
imbalance_rolling_max_2,0.00047910542287441605,-0.00045923964117560795,0.000938345064050024,8216491.0,6.50041038131868e-61,True,0.000938345064050024
garman_klass_var_rolling_ptp_8,0.0014538469737964519,0.0023887162272256575,-0.0009348692534292056,3970639.0,2.7823001803730214e-200,True,0.0009348692534292056
parkinson_var_rolling_min_24,0.004060834928944326,0.0049938435014862444,-0.0009330085725419183,6022127.0,2.013288901317667e-14,True,0.0009330085725419183
buy_ratio,0.0005056943750909104,-0.00042644827365744095,0.0009321426487483513,9898627.5,1.0983390561241946e-267,True,0.0009321426487483513
parkinson_var_rolling_min_12,0.005940544278189773,0.006871679408197376,-0.0009311351300076032,6392891.5,0.00034989697329725143,True,0.0009311351300076032
close_to_vwap_rolling_mean_8,0.002057342223179671,0.0011265756090608,0.0009307666141188712,7325808.0,2.4378345108887993e-11,True,0.0009307666141188712
close_to_vwap,0.0013460454698925872,0.00041622704749904433,0.0009298184223935429,8852081.5,1.3189464482573678e-121,True,0.0009298184223935429
log_quote_volume_rolling_mean_2,0.003288643282744672,0.00421813719362857,-0.0009294939108838982,5957983.5,6.560812443143321e-17,True,0.0009294939108838982
log_volume_rolling_max_2,-0.0009396034119435989,-1.6596513141522754e-05,-0.0009230068988020761,6176291.5,2.5914687881101046e-09,True,0.0009230068988020761
garman_klass_var_rolling_mean_24,0.00363112192738116,0.004539229222289835,-0.0009081072949086747,6529690.5,0.03827570059749981,False,0.0009081072949086747
abs_return_rolling_mean_96,0.0035079557157107347,0.004392981484137902,-0.0008850257684271676,6586216.5,0.1468646751321948,False,0.0008850257684271676
range_pct_rolling_mean_24,0.0018778492123412403,0.0027474655872129676,-0.0008696163748717273,4767246.0,5.620335578489973e-102,True,0.0008696163748717273
abs_return_rolling_iqr_96,0.003678307969560534,0.004547595176664907,-0.0008692872071043734,5929605.0,4.45410386924e-18,True,0.0008692872071043734
abs_return_rolling_iqr_24,0.0012318771204428954,0.002083232818573691,-0.0008513556981307956,4368941.0,5.637647926926867e-147,True,0.0008513556981307956
range_hl_rolling_mean_96,0.002447312299113021,0.003285244221753902,-0.0008379319226408809,5961543.5,9.131928228474212e-17,True,0.0008379319226408809
log_quote_volume_rolling_max_4,0.001925728796990765,0.002758645575301287,-0.0008329167783105221,5902691.5,3.1789551640237226e-19,True,0.0008329167783105221
log_quote_volume_rolling_min_1,0.005863733495923381,0.006696538880905717,-0.0008328053849823358,5516774.0,8.389532565203542e-40,True,0.0008328053849823358
squared_return_rolling_iqr_96,0.0025395526665310387,0.0033681483961386454,-0.0008285957296076066,6259217.5,4.55274489018047e-07,True,0.0008285957296076066
abs_return_rolling_max_4,0.0068356952570456635,0.007659835500917813,-0.0008241402438721492,6555911.0,0.07446611479060393,False,0.0008241402438721492
garman_klass_vol,0.007257474612717508,0.008079276787845422,-0.0008218021751279147,6419420.5,0.0010245178540102624,True,0.0008218021751279147
imbalance_rolling_mean_1,0.0003895017686058139,-0.00043202155633217086,0.0008215233249379847,9770566.0,5.653550746261822e-247,True,0.0008215233249379847
return_rolling_mean_48,0.0009359859970865344,0.00013777183150592682,0.0007982141655806076,7008341.5,0.001431363392809354,True,0.0007982141655806076
range_pct_rolling_mean_96,0.0026859608728888023,0.0034803092578215497,-0.0007943483849327474,6629232.5,0.32808932616431563,False,0.0007943483849327474
log_volume_rolling_max_4,-0.0016894905343940874,-0.0009004663255522435,-0.0007890242088418439,6370830.5,0.0001347083347845491,True,0.0007890242088418439
squared_return_rolling_min_1,0.0013738873841639167,0.002136012105533331,-0.0007621247213694142,6951256.5,0.010439675703632885,False,0.0007621247213694142
log_volume_rolling_mean_2,-0.00039520630268165936,0.00035813856039555264,-0.000753344863077212,6085589.0,3.5487483041985798e-12,True,0.000753344863077212
range_pct_rolling_iqr_96,0.0033183434824922676,0.004070296440779959,-0.0007519529582876911,6306232.0,5.965883575716564e-06,True,0.0007519529582876911
squared_return_rolling_mean_2,0.0038984915520753716,0.004644048217139803,-0.0007455566650644316,6467545.0,0.00587208211707767,True,0.0007455566650644316
log_quote_volume_rolling_max_2,0.007023988147013375,0.007764891901320559,-0.0007409037543071846,5446077.0,2.0562325171849307e-44,True,0.0007409037543071846
log_volume_rolling_min_2,-0.0009086966712565942,-0.0001706604472723617,-0.0007380362239842325,5890148.0,9.014361891589314e-20,True,0.0007380362239842325
log_quote_volume_rolling_mean_4,0.004863755268098309,0.0055856477549723425,-0.0007218924868740333,6131351.5,1.1225648624644448e-10,True,0.0007218924868740333
close_to_vwap_rolling_mean_2,-0.00020377580268955873,0.0005173726030090583,-0.000721148405698617,7264465.0,1.9378858402340254e-09,True,0.000721148405698617
buy_ratio_rolling_mean_4,0.0003708047521565402,-0.0003434424531235824,0.0007142472052801226,8120388.5,1.421128474978571e-53,True,0.0007142472052801226
parkinson_var,0.008698516480161683,0.009410180331239033,-0.0007116638510773505,6494502.5,0.013948394858308283,False,0.0007116638510773505
log_volume_lag_3,-0.0002307669933713001,0.0004794469888701537,-0.0007102139822414538,5885602.5,5.686451930748918e-20,True,0.0007102139822414538
close_to_vwap_rolling_var_96,0.0014004836745752998,0.002108416012888424,-0.0007079323383131241,6168419.5,1.5212970446282142e-09,True,0.0007079323383131241
parkinson_var_rolling_max_8,0.002613479870245523,0.003319311590029341,-0.0007058317197838181,6038736.5,8.189068668950365e-14,True,0.0007058317197838181
garman_klass_var_rolling_max_4,0.0029571777967283062,0.0036407802973321846,-0.0006836025006038784,5728594.5,1.5072394237415156e-27,True,0.0006836025006038784
range_hl_rolling_var_96,-4.000018960800568e-05,0.0006324611254169558,-0.0006724613150249615,5938352.0,1.028543580478368e-17,True,0.0006724613150249615
parkinson_var_rolling_ptp_4,0.0020228619714234013,0.001370531616455965,0.0006523303549674363,8206295.5,4.126729157976578e-60,True,0.0006523303549674363
parkinson_var_rolling_min_2,0.0032812475142180195,0.003932498149470956,-0.0006512506352529365,6012207.5,8.568817119108636e-15,True,0.0006512506352529365
parkinson_var_rolling_mean_96,0.0011744077473582735,0.0018249440319875292,-0.0006505362846292557,6086405.5,3.828122952470673e-12,True,0.0006505362846292557
garman_klass_var_rolling_max_1,0.007468794154183236,0.008105364148055242,-0.0006365699938720064,6460267.5,0.00458520333994828,True,0.0006365699938720064
return_rolling_max_12,0.0023622863439950875,0.0017303570762688958,0.0006319292677261917,7828278.0,3.1476950207510906e-34,True,0.0006319292677261917
parkinson_var_rolling_var_12,0.0025588520886036976,0.003187019753068141,-0.0006281676644644433,6337144.0,2.8143171461303036e-05,True,0.0006281676644644433
squared_return_rolling_mean_1,0.001935885208011572,0.002560689470224274,-0.0006248042622127021,6746582.5,0.7553132037183408,False,0.0006248042622127021
log_volume_rolling_mean_1,-0.00018126714301260825,0.00043900350275745,-0.0006202706457700583,5961793.0,9.339725883415859e-17,True,0.0006202706457700583
return_rolling_iqr_8,0.003333489239856679,0.003946749583317224,-0.0006132603434605447,5752502.0,2.5976010041015753e-26,True,0.0006132603434605447
