feature,importance
range_pct_rolling_iqr_48,0.016921920606083263
squared_return_rolling_max_12,0.016875163182852804
abs_return_rolling_ptp_24,0.016828621771247256
parkinson_var_rolling_max_48,0.01681257774420985
imbalance_rolling_min_2,0.016517040460739162
parkinson_var_rolling_var_96,0.016431981875653215
imbalance_rolling_ptp_96,0.01575158280961228
log_volume_rolling_var_12,0.015476161120021373
buy_ratio_rolling_iqr_48,0.01508832144106276
log_volume_rolling_var_24,0.014518133699451439
return_rolling_ptp_24,0.014485221623794993
illiq_rolling_iqr_96,0.014345843868721491
close_to_vwap_rolling_min_96,0.014149653092916093
log_volume_rolling_min_48,0.013929639629956591
imbalance_rolling_iqr_12,0.013861826247526339
log_volume_rolling_iqr_8,0.01375529014522464
garman_klass_var_rolling_var_12,0.013516301332489725
illiq_rolling_min_2,0.013450708688569174
range_pct_rolling_iqr_12,0.012972950687571603
buy_ratio_rolling_iqr_12,0.012761313267425405
imbalance_rolling_iqr_48,0.012759638979344026
log_quote_volume_rolling_iqr_4,0.012702355874200476
dow_cos,0.012698249195570688
log_quote_volume_rolling_iqr_2,0.012642337904917115
close_to_vwap_rolling_ptp_8,0.012347295358278543
log_volume_rolling_max_12,0.012229742680996785
buy_ratio_rolling_mean_48,0.012005738073643447
close_to_vwap_rolling_iqr_2,0.011797623900799041
illiq,0.011730567800908724
close_to_vwap_rolling_max_24,0.011605089037113414
range_pct_rolling_ptp_24,0.011583756760674411
log_quote_volume_rolling_ptp_48,0.011383372672259907
squared_return_rolling_min_24,0.0111583942908285
illiq_rolling_mean_4,0.010829175936070773
buy_ratio_rolling_iqr_24,0.010814060662619418
log_volume_rolling_iqr_4,0.010804040719915494
squared_return_rolling_min_4,0.010798788568665833
close_to_vwap_lag_3,0.010683456354144315
abs_return_lag_3,0.010147206510486593
range_pct_rolling_iqr_2,0.00999744727465157
abs_return_rolling_min_2,0.009641834906982684
garman_klass_var_rolling_max_8,0.009391322584595933
close_to_vwap_rolling_ptp_2,0.009373037214540126
